Id_client,Total_amount,Gender,Age,Count_city,Response_communcation,Communication_3month,Tenure
16052,1637,F,65,1,1,1,5
25027,4539,M,29,1,1,1,10
25659,6342,F,44,1,0,1,10
33297,9755,F,32,1,0,1,12
38750,5682,F,53,1,1,1,11
43063,2839,M,28,1,0,1,9
56311,2435,F,48,1,1,1,11
61721,7425,F,21,1,0,1,10
104027,6653,F,25,1,1,1,10
112005,1744,F,40,1,1,1,6
114389,2823,F,28,1,1,1,12
114395,6248,F,58,1,1,1,12
114438,3426,M,36,1,1,1,7
120741,3580,F,33,2,0,1,8
124428,2077,F,66,1,0,1,6
131083,7822,F,53,1,1,1,12
133752,8413,F,32,1,1,1,9
138705,2563,F,45,1,1,1,4
142289,4635,F,61,1,0,1,11
152502,1499,F,21,1,0,1,7
166395,14114,M,47,2,0,1,12
169547,12282,F,42,1,0,1,12
169553,1027,F,70,1,0,1,7
176701,895,F,50,1,0,1,4
176907,5042,F,43,1,0,1,10
176908,13055,M,43,1,0,1,11
176914,3658,M,53,1,1,1,12
177025,1733,M,28,2,0,1,10
177707,612,M,42,1,1,1,3
178060,1805,F,78,1,0,1,7
178939,4362,M,28,1,0,1,6
178998,6274,F,56,1,1,1,12
179109,10377,F,24,1,1,1,12
179110,1804,M,35,1,0,1,6
185046,3887,M,24,1,1,1,10
185047,2450,F,22,1,1,1,11
185048,7742,F,19,1,1,1,12
185050,5122,F,51,1,0,1,9
185051,1261,F,23,1,1,1,10
185053,2389,M,18,1,1,1,11
185055,2581,F,38,1,1,1,11
185056,7316,M,21,1,1,1,10
185059,6427,M,40,1,1,1,5
185061,4004,F,20,1,1,1,4
185065,1452,M,18,1,1,1,9
185066,10964,M,20,1,1,1,10
185068,1565,F,20,2,1,1,7
185071,11125,F,28,1,1,1,12
185076,1956,F,54,1,1,1,10
185077,4675,F,27,1,0,1,10
185079,4242,F,27,3,1,1,11
185083,7550,F,33,1,1,1,10
185086,18991,M,48,1,1,1,12
185092,1202,F,29,1,1,1,11
185097,6544,F,45,1,1,1,10
185102,14324,F,73,1,0,1,12
185104,9283,F,51,1,1,1,11
185106,5311,F,26,2,1,1,12
185108,11978,F,31,1,1,1,12
185114,14269,M,43,1,1,1,12
185117,7991,F,28,1,1,1,9
185118,4970,F,39,1,0,1,10
185122,4255,F,23,1,0,1,5
185124,7613,F,47,1,1,1,9
185126,4073,F,57,1,1,1,11
185127,2610,F,33,1,1,1,12
185128,9177,F,57,1,0,1,12
185132,10156,M,26,1,1,1,10
185134,6668,F,33,1,1,1,12
185138,2565,M,43,1,1,1,5
185139,1072,F,42,1,1,1,8
185140,423,F,17,1,1,1,7
185141,3982,F,38,1,1,1,12
